run_id,task,combo,passed,tests_total,pass_rate,wall_s,requests,budget_spent,tool_calls,tokens_input,tokens_output,tokens_reasoning,tokens_total,cost,invalid,flags
20260714T144906Z_csv-bugfix_planbuild_r1,csv-bugfix,planbuild,25,25,1.0,127.7,13,25,16,198726,3120,0,201846,0.0,True,budget_exhausted_p1;exit_1_p1
20260714T150116Z_csv-bugfix_planbuild_r2,csv-bugfix,planbuild,25,25,1.0,206.4,9,33,14,181900,2312,0,184212,0.0,False,
20260714T150444Z_csv-bugfix_planbuild_r3,csv-bugfix,planbuild,25,25,1.0,370.2,36,85,36,973140,13931,0,987071,0.0,False,
20260714T150852Z_spreadsheet_planbuild-dsv4_r1,spreadsheet,planbuild-dsv4,21,21,1.0,444.2,20,,19,497267,17955,0,515222,0.0,False,
20260714T152810Z_spreadsheet_solo-dsv4_r1,spreadsheet,solo-dsv4,0,1,0.0,657.7,0,401,0,0,0,0,0,0.0,True,stalled_p1
20260715T062448Z_spreadsheet_plansolo_r1,spreadsheet,plansolo,30,34,0.882,231.7,28,29,26,795558,22068,0,817626,0.0,False,
20260715T062842Z_spreadsheet_plansolo_r2,spreadsheet,plansolo,27,34,0.794,217.2,28,29,26,861982,25159,0,887141,0.0,False,
20260715T063221Z_spreadsheet_plansolo_r3,spreadsheet,plansolo,31,34,0.912,272.6,39,40,41,1237703,20771,0,1258474,0.0,False,
20260715T063655Z_spreadsheet_planbuild_r1,spreadsheet,planbuild,34,34,1.0,356.5,20,21,18,500964,17000,0,517964,0.0,False,
20260715T064253Z_spreadsheet_planbuild_r2,spreadsheet,planbuild,32,34,0.941,485.5,30,31,28,1118083,25212,0,1155259,0.0,False,
20260715T065100Z_spreadsheet_planbuild_r3,spreadsheet,planbuild,34,34,1.0,349.5,25,22,24,646967,16772,0,663739,0.0,False,
20260715T065651Z_spreadsheet_solo-dsv4_r1,spreadsheet,solo-dsv4,32,34,0.941,485.2,25,26,24,1239139,56992,0,1296131,0.0,False,
20260715T070458Z_spreadsheet_solo-dsv4_r2,spreadsheet,solo-dsv4,26,34,0.765,122.9,25,26,24,532356,15389,0,547745,0.0,False,
20260715T070703Z_spreadsheet_solo-dsv4_r3,spreadsheet,solo-dsv4,23,34,0.676,507.0,25,26,24,1496327,63222,0,1559549,0.0,False,
20260715T071532Z_spreadsheet_planbuild-dsv4_r1,spreadsheet,planbuild-dsv4,0,1,0.0,47.5,1,3,0,0,0,0,0,0.0,True,provider_error_p1;exit_1_p1
20260715T072621Z_spreadsheet_planbuild-dsv4_r2,spreadsheet,planbuild-dsv4,33,34,0.971,431.1,20,21,20,694717,26102,0,720819,0.0,False,
20260715T073334Z_spreadsheet_planbuild-dsv4_r3,spreadsheet,planbuild-dsv4,34,34,1.0,703.0,40,41,42,1743305,29253,0,1772558,0.0,False,
20260715T074517Z_spreadsheet_planbuild-dsv4_r1,spreadsheet,planbuild-dsv4,34,34,1.0,444.8,15,16,13,298869,13084,0,311953,0.0,False,
20260715T142137Z_spreadsheet_planbuild-ds4-coder_r1,spreadsheet,planbuild-ds4-coder,34,34,1.0,336.0,28,32,21,731015,17556,0,846253,0.0,False,
20260715T142715Z_spreadsheet_planbuild-ds4-coder_r2,spreadsheet,planbuild-ds4-coder,34,34,1.0,260.4,40,42,39,1466056,24890,0,1490946,0.0,False,
20260715T143137Z_spreadsheet_planbuild-ds4-coder_r3,spreadsheet,planbuild-ds4-coder,34,34,1.0,164.1,21,22,22,719896,17033,0,736929,0.0,False,
20260715T143423Z_csv-bugfix_planbuild-ds4-coder_r1,csv-bugfix,planbuild-ds4-coder,25,25,1.0,236.0,42,43,45,1246547,16770,0,1263317,0.0,False,
20260715T143820Z_csv-bugfix_planbuild-ds4-coder_r2,csv-bugfix,planbuild-ds4-coder,25,25,1.0,203.1,23,25,25,550946,13720,0,564666,0.0,False,
20260715T144145Z_csv-bugfix_planbuild-ds4-coder_r3,csv-bugfix,planbuild-ds4-coder,25,25,1.0,194.6,21,8,22,391997,7734,0,399731,0.0,True,provider_error_p2;exit_1_p2
20260715T145500Z_csv-bugfix_planbuild-ds4-coder_r3,csv-bugfix,planbuild-ds4-coder,25,25,1.0,44.7,1,3,0,0,0,0,0,0.0,True,provider_error_p1;exit_1_p1
20260715T172956Z_spreadsheet_planbuild-p_coder-b_glm47_r1,spreadsheet,planbuild-p_coder-b_glm47,21,21,1.0,295.6,34,,33,1849304,30328,0,1879632,0.0,False,
20260715T172958Z_spreadsheet_planbuild-p_coder-b_glm47_r2,spreadsheet,planbuild-p_coder-b_glm47,21,21,1.0,288.5,40,,39,1893923,28853,0,1922776,0.0,False,
20260715T172959Z_spreadsheet_planbuild-p_coder-b_glm47_r3,spreadsheet,planbuild-p_coder-b_glm47,21,21,1.0,203.0,25,,24,999279,19843,0,1019122,0.0,False,
20260715T173510Z_csv-bugfix_planbuild-p_coder-b_qwen36_r1,csv-bugfix,planbuild-p_coder-b_qwen36,19,19,1.0,260.5,26,,33,902450,20907,0,923357,0.0,False,
20260715T173512Z_csv-bugfix_planbuild-p_coder-b_qwen36_r2,csv-bugfix,planbuild-p_coder-b_qwen36,19,19,1.0,453.4,69,,71,3253059,37207,0,3290266,0.0,False,
20260715T173513Z_csv-bugfix_planbuild-p_coder-b_qwen36_r3,csv-bugfix,planbuild-p_coder-b_qwen36,19,19,1.0,191.2,31,,31,853000,14027,0,867027,0.0,False,
20260715T173515Z_csv-bugfix_planbuild-p_coder-b_coder_r1,csv-bugfix,planbuild-p_coder-b_coder,19,19,1.0,238.1,35,,37,1215732,18074,0,1233806,0.0,False,
20260715T173826Z_csv-bugfix_planbuild-p_coder-b_coder_r2,csv-bugfix,planbuild-p_coder-b_coder,19,19,1.0,308.4,22,,23,577343,15595,0,592938,0.0,False,
20260715T173915Z_csv-bugfix_planbuild-p_coder-b_coder_r3,csv-bugfix,planbuild-p_coder-b_coder,19,19,1.0,250.2,19,,19,399406,9389,0,408795,0.0,False,
20260715T173933Z_csv-bugfix_planbuild-p_coder-b_dsv4_r1,csv-bugfix,planbuild-p_coder-b_dsv4,19,19,1.0,360.4,33,,33,998199,19778,0,1017977,0.0,False,
20260715T174247Z_csv-bugfix_planbuild-p_coder-b_dsv4_r2,csv-bugfix,planbuild-p_coder-b_dsv4,19,19,1.0,233.2,19,,20,393269,8095,0,401364,0.0,False,
20260715T174326Z_csv-bugfix_planbuild-p_coder-b_dsv4_r3,csv-bugfix,planbuild-p_coder-b_dsv4,19,19,1.0,526.3,27,,28,1135709,35399,0,1171108,0.0,False,
20260715T174336Z_csv-bugfix_planbuild-p_coder-b_glm47_r1,csv-bugfix,planbuild-p_coder-b_glm47,19,19,1.0,272.8,15,,16,341541,11983,0,353524,0.0,False,
20260715T174535Z_csv-bugfix_planbuild-p_coder-b_glm47_r2,csv-bugfix,planbuild-p_coder-b_glm47,19,19,1.0,334.8,16,,18,426247,17649,0,443896,0.0,False,
20260715T174642Z_csv-bugfix_planbuild-p_coder-b_glm47_r3,csv-bugfix,planbuild-p_coder-b_glm47,18,19,0.947,302.1,23,,23,586000,13899,0,599899,0.0,False,
20260715T174811Z_spreadsheet_planbuild-p_coder-b_qwen36_r1,spreadsheet,planbuild-p_coder-b_qwen36,21,21,1.0,349.4,23,,21,606180,18808,0,624988,0.0,False,
20260715T175111Z_spreadsheet_planbuild-p_coder-b_qwen36_r2,spreadsheet,planbuild-p_coder-b_qwen36,10,21,0.476,356.3,19,,20,470458,18974,0,489432,0.0,True,budget_exhausted_p2;exit_1_p2
20260715T175145Z_spreadsheet_planbuild-p_coder-b_qwen36_r3,spreadsheet,planbuild-p_coder-b_qwen36,19,21,0.905,325.1,22,,21,548595,19339,0,567934,0.0,True,budget_exhausted_p2;exit_1_p2
20260715T175214Z_spreadsheet_planbuild-p_coder-b_coder_r1,spreadsheet,planbuild-p_coder-b_coder,16,21,0.762,295.5,11,,9,194670,16065,0,210735,0.0,True,budget_exhausted_p2;exit_1_p2
20260715T175402Z_spreadsheet_planbuild-p_coder-b_coder_r2,spreadsheet,planbuild-p_coder-b_coder,0,1,0.0,222.6,8,,10,93656,8913,0,102569,0.0,True,budget_exhausted_p2;exit_1_p2
20260715T180709Z_spreadsheet_planbuild-p_coder-b_coder_r3,spreadsheet,planbuild-p_coder-b_coder,19,21,0.905,334.1,49,,47,1909845,29673,0,1939518,0.0,False,
20260715T180712Z_spreadsheet_planbuild-p_coder-b_dsv4_r1,spreadsheet,planbuild-p_coder-b_dsv4,21,21,1.0,182.1,24,,22,577965,15690,0,593655,0.0,False,
20260715T180713Z_spreadsheet_planbuild-p_coder-b_dsv4_r2,spreadsheet,planbuild-p_coder-b_dsv4,21,21,1.0,255.4,33,,33,842466,20752,0,863218,0.0,False,
20260715T180746Z_spreadsheet_planbuild-p_coder-b_dsv4_r3,spreadsheet,planbuild-p_coder-b_dsv4,21,21,1.0,158.0,19,,18,404585,13810,0,418395,0.0,False,
20260715T181015Z_spreadsheet_planbuild-p_coder-b_glm47_r1,spreadsheet,planbuild-p_coder-b_glm47,20,21,0.952,170.9,22,,20,598531,15005,0,613536,0.0,False,
20260715T181026Z_spreadsheet_planbuild-p_coder-b_glm47_r2,spreadsheet,planbuild-p_coder-b_glm47,21,21,1.0,231.4,15,,13,471549,20427,0,491976,0.0,False,
20260715T181130Z_spreadsheet_planbuild-p_coder-b_glm47_r3,spreadsheet,planbuild-p_coder-b_glm47,21,21,1.0,212.8,31,,29,1040708,20746,0,1061454,0.0,False,
20260715T181503Z_spreadsheet_planbuild-p_coder-b_qwen36_r2,spreadsheet,planbuild-p_coder-b_qwen36,21,21,1.0,255.3,30,,28,916714,29684,0,946398,0.0,False,
20260715T181919Z_spreadsheet_planbuild-p_coder-b_coder_r1,spreadsheet,planbuild-p_coder-b_coder,21,21,1.0,146.0,26,,29,704579,14542,0,719121,0.0,False,
20260715T182145Z_spreadsheet_planbuild-p_coder-b_qwen36_r3,spreadsheet,planbuild-p_coder-b_qwen36,0,1,0.0,255.2,25,,25,845338,19483,0,864821,0.0,False,
20260715T182600Z_spreadsheet_planbuild-p_coder-b_coder_r2,spreadsheet,planbuild-p_coder-b_coder,20,21,0.952,415.2,34,,32,1702387,30748,0,1733135,0.0,False,
20260718T102712Z_minilang_planbuild_r1,minilang,planbuild,50,50,1.0,167.8,18,7,21,679773,15804,0,695577,0.0,False,
20260718T103003Z_minilang_planbuild_r1,minilang,planbuild,49,50,0.98,541.3,56,78,53,2256821,29673,0,2302079,0.0,False,
20260718T103906Z_minilang_planbuild_r1,minilang,planbuild,50,50,1.0,282.7,15,16,18,569382,16546,0,585928,0.0,False,
20260718T104351Z_minilang_planbuild-dsv4_r1,minilang,planbuild-dsv4,50,50,1.0,284.6,18,19,21,652196,16426,0,668622,0.0,False,
20260718T104838Z_minilang_planbuild-dsv4_r1,minilang,planbuild-dsv4,50,50,1.0,270.0,18,19,22,610014,14891,0,624905,0.0,False,
20260718T105311Z_minilang_planbuild-dsv4_r1,minilang,planbuild-dsv4,50,50,1.0,279.2,19,4,21,608256,15461,0,623717,0.0,False,
20260718T105752Z_minilang_planbuild-ds4-coder_r1,minilang,planbuild-ds4-coder,50,50,1.0,239.4,21,12,27,867198,14069,0,881267,0.0,False,
20260718T110154Z_minilang_planbuild-ds4-coder_r1,minilang,planbuild-ds4-coder,49,50,0.98,649.9,55,56,54,2353396,30819,0,2384215,0.0,False,
20260718T111246Z_minilang_planbuild-ds4-coder_r1,minilang,planbuild-ds4-coder,49,50,0.98,466.9,69,70,68,3327944,41771,0,3369715,0.0,False,
20260718T112035Z_minilang_planbuild-p_qwen35-b_qwen36_r1,minilang,planbuild-p_qwen35-b_qwen36,50,50,1.0,135.7,13,14,15,396681,13641,0,410322,0.0,False,
20260718T112253Z_minilang_planbuild-p_qwen35-b_qwen36_r1,minilang,planbuild-p_qwen35-b_qwen36,50,50,1.0,147.2,21,22,27,788300,16580,0,804880,0.0,False,
20260718T112523Z_minilang_planbuild-p_qwen35-b_qwen36_r1,minilang,planbuild-p_qwen35-b_qwen36,50,50,1.0,157.5,23,21,27,766699,16656,0,783355,0.0,False,
20260718T112803Z_minilang_planbuild-p_qwen35-b_coder_r1,minilang,planbuild-p_qwen35-b_coder,50,50,1.0,267.8,38,39,36,1842968,26661,0,1869629,0.0,False,
20260718T113233Z_minilang_planbuild-p_qwen35-b_coder_r1,minilang,planbuild-p_qwen35-b_coder,50,50,1.0,220.3,31,32,30,1408270,25410,0,1433680,0.0,False,
20260718T113615Z_minilang_planbuild-p_qwen35-b_coder_r1,minilang,planbuild-p_qwen35-b_coder,50,50,1.0,275.3,36,37,36,1409129,20993,0,1430122,0.0,False,
20260718T114053Z_minilang_planbuild-p_qwen35-b_dsv4_r1,minilang,planbuild-p_qwen35-b_dsv4,48,50,0.96,544.8,36,37,35,1188340,25217,0,1213557,0.0,False,
20260718T115000Z_minilang_planbuild-p_qwen35-b_dsv4_r1,minilang,planbuild-p_qwen35-b_dsv4,50,50,1.0,279.2,16,17,19,588955,16528,0,605483,0.0,False,
20260718T115442Z_minilang_planbuild-p_qwen35-b_dsv4_r1,minilang,planbuild-p_qwen35-b_dsv4,0,1,0.0,270.9,11,12,16,523478,15185,0,538663,0.0,False,
20260718T115915Z_minilang_planbuild-p_qwen35-b_glm47_r1,minilang,planbuild-p_qwen35-b_glm47,49,50,0.98,629.7,61,62,59,2700028,41803,0,2741831,0.0,False,
20260718T120947Z_minilang_planbuild-p_qwen35-b_glm47_r1,minilang,planbuild-p_qwen35-b_glm47,50,50,1.0,237.1,44,45,44,2183224,25826,0,2209050,0.0,False,
20260718T121346Z_minilang_planbuild-p_qwen35-b_glm47_r1,minilang,planbuild-p_qwen35-b_glm47,49,50,0.98,354.9,68,69,67,2940739,37578,0,2978317,0.0,False,
20260718T121943Z_minilang_planbuild-p_mistral-b_qwen36_r1,minilang,planbuild-p_mistral-b_qwen36,0,1,0.0,25.6,7,8,11,228137,1265,0,229402,0.0,False,
20260718T122011Z_minilang_planbuild-p_mistral-b_qwen36_r1,minilang,planbuild-p_mistral-b_qwen36,50,50,1.0,145.1,19,11,21,606782,15636,0,622418,0.0,False,
20260718T122238Z_minilang_planbuild-p_mistral-b_qwen36_r1,minilang,planbuild-p_mistral-b_qwen36,50,50,1.0,127.2,16,17,17,466129,14040,0,480169,0.0,False,
20260718T122448Z_minilang_planbuild-p_mistral-b_coder_r1,minilang,planbuild-p_mistral-b_coder,50,50,1.0,144.2,17,18,19,555230,15345,0,570575,0.0,False,
20260718T122715Z_minilang_planbuild-p_mistral-b_coder_r1,minilang,planbuild-p_mistral-b_coder,49,50,0.98,373.5,54,55,52,2811903,31477,0,2843380,0.0,False,
20260718T123330Z_minilang_planbuild-p_mistral-b_coder_r1,minilang,planbuild-p_mistral-b_coder,0,1,0.0,167.7,12,13,16,381819,1611,0,383430,0.0,False,
20260718T123620Z_minilang_planbuild-p_mistral-b_dsv4_r1,minilang,planbuild-p_mistral-b_dsv4,50,50,1.0,439.5,50,51,52,2113142,31005,0,2144147,0.0,False,
20260718T124342Z_minilang_planbuild-p_mistral-b_dsv4_r1,minilang,planbuild-p_mistral-b_dsv4,0,1,0.0,163.5,8,9,10,255750,1438,0,257188,0.0,False,
20260718T124628Z_minilang_planbuild-p_mistral-b_dsv4_r1,minilang,planbuild-p_mistral-b_dsv4,0,1,0.0,156.7,7,8,10,223127,1098,0,224225,0.0,False,
20260718T124906Z_minilang_planbuild-p_mistral-b_glm47_r1,minilang,planbuild-p_mistral-b_glm47,0,1,0.0,165.4,10,11,16,296469,1656,0,298125,0.0,False,
20260718T125154Z_minilang_planbuild-p_mistral-b_glm47_r1,minilang,planbuild-p_mistral-b_glm47,49,50,0.98,485.5,43,9,42,2526759,29818,0,2556577,0.0,False,
20260718T130002Z_minilang_planbuild-p_mistral-b_glm47_r1,minilang,planbuild-p_mistral-b_glm47,50,50,1.0,299.7,17,18,23,751115,15725,0,766840,0.0,False,
20260718T130504Z_minilang_planbuild-p_coder-b_qwen36_r1,minilang,planbuild-p_coder-b_qwen36,50,50,1.0,793.7,75,76,73,3846621,50269,0,3896890,0.0,False,
20260718T131820Z_minilang_planbuild-p_coder-b_qwen36_r1,minilang,planbuild-p_coder-b_qwen36,49,50,0.98,347.7,45,46,44,2057661,35318,0,2092979,0.0,False,
20260718T132410Z_minilang_planbuild-p_coder-b_qwen36_r1,minilang,planbuild-p_coder-b_qwen36,49,50,0.98,313.8,51,,49,2195710,27840,0,2223550,0.0,False,
20260718T132926Z_minilang_planbuild-p_coder-b_coder_r1,minilang,planbuild-p_coder-b_coder,0,1,0.0,29.1,9,8,11,311216,1396,0,312612,0.0,False,
20260718T132957Z_minilang_planbuild-p_coder-b_coder_r1,minilang,planbuild-p_coder-b_coder,50,50,1.0,649.7,78,77,76,3450525,47073,0,3497598,0.0,False,
20260718T134049Z_minilang_planbuild-p_coder-b_coder_r1,minilang,planbuild-p_coder-b_coder,50,50,1.0,147.6,12,11,15,293637,13281,0,306918,0.0,False,
20260718T134319Z_minilang_planbuild-p_coder-b_dsv4_r1,minilang,planbuild-p_coder-b_dsv4,49,50,0.98,214.0,35,34,33,1216803,24090,0,1240893,0.0,False,
20260718T134655Z_minilang_planbuild-p_coder-b_dsv4_r1,minilang,planbuild-p_coder-b_dsv4,50,50,1.0,215.2,27,18,25,1036254,23235,0,1059489,0.0,False,
20260718T135033Z_minilang_planbuild-p_coder-b_dsv4_r1,minilang,planbuild-p_coder-b_dsv4,50,50,1.0,472.5,40,41,39,1592938,27257,0,1620195,0.0,False,
20260718T135828Z_minilang_planbuild-p_coder-b_glm47_r1,minilang,planbuild-p_coder-b_glm47,49,50,0.98,528.0,40,38,39,1908868,27346,0,1936214,0.0,False,
20260718T140718Z_minilang_planbuild-p_coder-b_glm47_r1,minilang,planbuild-p_coder-b_glm47,50,50,1.0,569.6,56,57,55,2421610,36468,0,2458078,0.0,False,
20260718T141650Z_minilang_planbuild-p_coder-b_glm47_r1,minilang,planbuild-p_coder-b_glm47,0,1,0.0,178.7,8,9,11,255356,1352,0,256708,0.0,False,
20260719T120731Z_minilang2_planbuild_r1,minilang2,planbuild,0,200,0.0,456.6,19,,14,403431,3180,0,671641,0.0,True,stalled_p2
20260719T122510Z_minilang2_planbuild_r1,minilang2,planbuild,0,200,0.0,507.5,19,20,28,1353968,29666,0,1383634,0.0,False,
20260719T123339Z_minilang2_planbuild_r1,minilang2,planbuild,198,200,0.99,931.1,128,129,127,10266997,62504,0,10329501,0.0,False,
20260719T124916Z_minilang2_planbuild-dsv4_r1,minilang2,planbuild-dsv4,197,200,0.985,1581.3,145,26,143,11413776,72033,0,11485809,0.0,False,
20260719T131542Z_minilang2_planbuild-dsv4_r1,minilang2,planbuild-dsv4,0,200,0.0,95.0,14,15,25,835042,2575,0,837617,0.0,False,
20260719T131719Z_minilang2_planbuild-dsv4_r1,minilang2,planbuild-dsv4,200,200,1.0,456.5,31,32,40,2417954,38255,0,2456209,0.0,False,
20260719T132459Z_minilang2_planbuild-ds4-coder_r1,minilang2,planbuild-ds4-coder,0,200,0.0,43.8,9,10,9,437392,1558,0,438950,0.0,False,
20260719T132545Z_minilang2_planbuild-ds4-coder_r1,minilang2,planbuild-ds4-coder,0,200,0.0,71.5,15,16,19,735737,2353,0,738090,0.0,False,
20260719T132658Z_minilang2_planbuild-ds4-coder_r1,minilang2,planbuild-ds4-coder,0,200,0.0,79.8,12,13,18,794152,2284,0,796436,0.0,False,
20260719T132820Z_minilang2_planbuild-p_qwen35-b_qwen36_r1,minilang2,planbuild-p_qwen35-b_qwen36,0,200,0.0,88.0,18,19,28,1256803,3312,0,1260115,0.0,False,
20260719T132950Z_minilang2_planbuild-p_qwen35-b_qwen36_r1,minilang2,planbuild-p_qwen35-b_qwen36,200,200,1.0,280.7,14,15,14,724590,29733,0,754323,0.0,False,
20260719T133434Z_minilang2_planbuild-p_qwen35-b_qwen36_r1,minilang2,planbuild-p_qwen35-b_qwen36,197,200,0.985,1118.1,132,75,131,13007322,94756,0,13102078,0.0,False,
20260719T135320Z_minilang2_planbuild-p_qwen35-b_coder_r1,minilang2,planbuild-p_qwen35-b_coder,0,200,0.0,84.4,9,10,11,425456,4278,0,429734,0.0,False,
20260719T135446Z_minilang2_planbuild-p_qwen35-b_coder_r1,minilang2,planbuild-p_qwen35-b_coder,194,200,0.97,684.6,92,93,92,6402445,63038,0,6465483,0.0,False,
20260719T140616Z_minilang2_planbuild-p_qwen35-b_coder_r1,minilang2,planbuild-p_qwen35-b_coder,200,200,1.0,387.8,22,23,31,1317888,26317,0,1344205,0.0,False,
20260719T141247Z_minilang2_planbuild-p_qwen35-b_dsv4_r1,minilang2,planbuild-p_qwen35-b_dsv4,195,200,0.975,687.0,81,82,80,5214351,48088,0,5262439,0.0,False,
20260719T142418Z_minilang2_planbuild-p_qwen35-b_dsv4_r1,minilang2,planbuild-p_qwen35-b_dsv4,0,200,0.0,78.7,15,16,21,930055,2276,0,932331,0.0,False,
20260719T142539Z_minilang2_planbuild-p_qwen35-b_dsv4_r1,minilang2,planbuild-p_qwen35-b_dsv4,0,200,0.0,117.6,21,22,28,1039582,5179,0,1044761,0.0,False,
20260719T142738Z_minilang2_planbuild-p_qwen35-b_glm47_r1,minilang2,planbuild-p_qwen35-b_glm47,0,200,0.0,82.5,17,18,21,855503,2758,0,858261,0.0,False,
20260719T142903Z_minilang2_planbuild-p_qwen35-b_glm47_r1,minilang2,planbuild-p_qwen35-b_glm47,198,200,0.99,987.0,91,34,89,6132171,60348,0,6192519,0.0,False,
20260719T144534Z_minilang2_planbuild-p_qwen35-b_glm47_r1,minilang2,planbuild-p_qwen35-b_glm47,0,200,0.0,113.2,11,12,21,842871,4429,0,847300,0.0,False,
20260719T144729Z_minilang2_planbuild-p_mistral-b_qwen36_r1,minilang2,planbuild-p_mistral-b_qwen36,0,200,0.0,59.9,7,8,9,319706,1473,0,321179,0.0,False,
20260719T144831Z_minilang2_planbuild-p_mistral-b_qwen36_r1,minilang2,planbuild-p_mistral-b_qwen36,197,200,0.985,1394.5,112,61,110,8816852,72091,0,8888943,0.0,False,
20260719T151150Z_minilang2_planbuild-p_mistral-b_qwen36_r1,minilang2,planbuild-p_mistral-b_qwen36,0,200,0.0,123.2,18,19,30,1157453,5604,0,1163057,0.0,False,
20260719T151355Z_minilang2_planbuild-p_mistral-b_coder_r1,minilang2,planbuild-p_mistral-b_coder,0,200,0.0,178.2,23,24,33,1434864,11858,0,1446722,0.0,False,
20260719T151655Z_minilang2_planbuild-p_mistral-b_coder_r1,minilang2,planbuild-p_mistral-b_coder,0,200,0.0,82.1,15,16,16,879532,2836,0,882368,0.0,False,
20260719T151819Z_minilang2_planbuild-p_mistral-b_coder_r1,minilang2,planbuild-p_mistral-b_coder,0,200,0.0,337.5,6,7,4,87214,2687,0,89901,0.0,True,stalled_p2
20260719T153359Z_minilang2_planbuild-p_mistral-b_dsv4_r1,minilang2,planbuild-p_mistral-b_dsv4,198,200,0.99,1060.5,143,129,141,12767463,86204,0,12853667,0.0,False,
20260719T155144Z_minilang2_planbuild-p_mistral-b_dsv4_r1,minilang2,planbuild-p_mistral-b_dsv4,0,200,0.0,99.8,15,16,29,1009851,2803,0,1012654,0.0,False,
20260719T155326Z_minilang2_planbuild-p_mistral-b_dsv4_r1,minilang2,planbuild-p_mistral-b_dsv4,198,200,0.99,1781.5,121,122,119,9076286,68775,0,9145061,0.0,False,
20260719T162311Z_minilang2_planbuild-p_mistral-b_glm47_r1,minilang2,planbuild-p_mistral-b_glm47,0,200,0.0,104.0,16,17,29,1131941,3493,0,1135434,0.0,False,
20260719T162457Z_minilang2_planbuild-p_mistral-b_glm47_r1,minilang2,planbuild-p_mistral-b_glm47,0,200,0.0,273.6,44,45,53,3093163,18085,0,3111248,0.0,False,
20260719T162933Z_minilang2_planbuild-p_mistral-b_glm47_r1,minilang2,planbuild-p_mistral-b_glm47,197,200,0.985,811.4,116,117,114,7800171,59560,0,7859731,0.0,False,
20260719T164309Z_minilang2_planbuild-p_coder-b_qwen36_r1,minilang2,planbuild-p_coder-b_qwen36,196,200,0.98,1171.8,79,16,77,6881744,72010,0,6953754,0.0,False,
20260719T170245Z_minilang2_planbuild-p_coder-b_qwen36_r1,minilang2,planbuild-p_coder-b_qwen36,198,200,0.99,662.7,88,86,86,5517660,61918,0,5579578,0.0,False,
20260719T171351Z_minilang2_planbuild-p_coder-b_qwen36_r1,minilang2,planbuild-p_coder-b_qwen36,200,200,1.0,318.1,24,23,29,1259860,28277,0,1288137,0.0,False,
20260719T171913Z_minilang2_planbuild-p_coder-b_coder_r1,minilang2,planbuild-p_coder-b_coder,199,200,0.995,714.8,52,51,51,4589472,59576,0,4649048,0.0,False,
20260719T173114Z_minilang2_planbuild-p_coder-b_coder_r1,minilang2,planbuild-p_coder-b_coder,200,200,1.0,304.2,22,5,28,1187906,28301,0,1216207,0.0,False,
20260719T173622Z_minilang2_planbuild-p_coder-b_coder_r1,minilang2,planbuild-p_coder-b_coder,198,200,0.99,734.1,112,111,110,7492691,64322,0,7557013,0.0,False,
20260719T174841Z_minilang2_planbuild-p_coder-b_dsv4_r1,minilang2,planbuild-p_coder-b_dsv4,195,200,0.975,1114.0,118,118,118,8992555,77987,0,9070542,0.0,False,
20260719T180719Z_minilang2_planbuild-p_coder-b_dsv4_r1,minilang2,planbuild-p_coder-b_dsv4,193,200,0.965,1209.7,96,97,94,8718799,60078,0,8778877,0.0,False,
